Municipio;total Paro Registrado
4001 Abla;87
4002 Abrucena;79
4003 Adra;1936
4004 Albánchez;19
4005 Alboloduy;41
4006 Albox;726
4007 Alcolea;72
4008 Alcóntar;19
4009 Alcudia de Monteagud;6
4010 Alhabia;68
4011 Alhama de Almería;329
4012 Alicún;22
4013 Almería;17792
4014 Almócita;10
4015 Alsodux;8
4016 Antas;136
4017 Arboleas;128
4018 Armuña de Almanzora;18
4019 Bacares;12
4020 Bayárcal;16
4021 Bayarque;10
4022 Bédar;40
4023 Beires;6
4024 Benahadux;369
4026 Benitagla;3
4027 Benizalón;13
4028 Bentarique;11
4029 Berja;1127
4030 Canjáyar;94
4031 Cantoria;212
4032 Carboneras;691
4033 Castro de Filabres;5
4034 Cóbdar;9
4035 Cuevas del Almanzora;958
4036 Chercos;19
4037 Chirivel;48
4038 Dalías;233
4041 Enix;20
4043 Felix;37
4044 Fines;185
4045 Fiñana;156
4046 Fondón;54
4047 Gádor;322
4048 Gallardos, Los;143
4049 Garrucha;986
4050 Gérgal;71
4051 Huécija;22
4052 Huércal de Almería;1420
4053 Huércal-Overa;1124
4054 Illar;17
4055 Instinción;25
4056 Laroya;9
4057 Láujar de Andarax;120
4058 Líjar;33
4059 Lubrín;65
4060 Lucainena de las Torres;39
4061 Lúcar;68
4062 Macael;459
4063 María;51
4064 Mojácar;424
4065 Nacimiento;27
4066 Níjar;1951
4067 Ohanes;48
4068 Olula de Castro;8
4069 Olula del Río;592
4070 Oria;79
4071 Padules;22
4072 Partaloa;11
4073 Paterna del Río;25
4074 Pechina;414
4075 Pulpí;327
4076 Purchena;105
4077 Rágol;10
4078 Rioja;189
4079 Roquetas de Mar;8137
4080 Santa Cruz de Marchena;15
4081 Santa Fe de Mondújar;39
4082 Senés;18
4083 Serón;91
4084 Sierro;28
4085 Somontín;24
4086 Sorbas;183
4087 Suflí;22
4088 Tabernas;376
4089 Taberno;41
4090 Tahal;15
4091 Terque;28
4092 Tíjola;229
4093 Turre;367
4094 Turrillas;11
4095 Uleila del Campo;54
4096 Urrácal;22
4097 Velefique;16
4098 Vélez-Blanco;82
4099 Vélez-Rubio;406
4100 Vera;1348
4101 Viator;476
4102 Vícar;1878
4103 Zurgena;135
4901 Tres Villas, Las;34
4902 Ejido, El;5018
4903 Mojonera, La;495
4904 Balanegra;154
11001 Alcalá de los Gazules;767
11002 Alcalá del Valle;285
11003 Algar;155
11004 Algeciras;13547
11005 Algodonales;489
11006 Arcos de la Frontera;4900
11007 Barbate;4060
11008 Barrios, Los;2452
11009 Benaocaz;74
11010 Bornos;812
11011 Bosque, El;197
11012 Cádiz;12365
11013 Castellar de la Frontera;325
11014 Conil de la Frontera;2576
11015 Chiclana de la Frontera;10443
11016 Chipiona;2913
11017 Espera;361
11018 Gastor, El;146
11019 Grazalema;248
11020 Jerez de la Frontera;27220
11021 Jimena de la Frontera;991
11022 Línea de la Concepción, La;8299
11023 Medina-Sidonia;1603
11024 Olvera;559
11025 Paterna de Rivera;845
11026 Prado del Rey;779
11027 Puerto de Santa María, El;9676
11028 Puerto Real;4846
11029 Puerto Serrano;472
11030 Rota;2939
11031 San Fernando;10624
11032 Sanlúcar de Barrameda;8735
11033 San Roque;3333
11034 Setenil de las Bodegas;156
11035 Tarifa;2058
11036 Torre Alháquime;55
11037 Trebujena;612
11038 Ubrique;1807
11039 Vejer de la Frontera;2045
11040 Villaluenga del Rosario;36
11041 Villamartín;1617
11042 Zahara;112
11901 Benalup-Casas Viejas;977
11902 San José del Valle;527
14001 Adamuz;176
14002 Aguilar de la Frontera;765
14003 Alcaracejos;145
14004 Almedinilla;101
14005 Almodóvar del Río;859
14006 Añora;148
14007 Baena;1168
14008 Belalcázar;340
14009 Belmez;391
14010 Benamejí;233
14011 Blázquez, Los;85
14012 Bujalance;387
14013 Cabra;1441
14014 Cañete de las Torres;100
14015 Carcabuey;119
14016 Cardeña;105
14017 Carlota, La;997
14018 Carpio, El;396
14019 Castro del Río;337
14020 Conquista;24
14021 Córdoba;32999
14022 Doña Mencía;200
14023 Dos Torres;217
14024 Encinas Reales;157
14025 Espejo;92
14026 Espiel;219
14027 Fernán-Núñez;717
14028 Fuente la Lancha;60
14029 Fuente Obejuna;655
14030 Fuente Palmera;613
14031 Fuente-Tójar;29
14032 Granjuela, La;78
14033 Guadalcázar;107
14034 Guijo, El;28
14035 Hinojosa del Duque;827
14036 Hornachuelos;298
14037 Iznájar;154
14038 Lucena;4039
14039 Luque;123
14040 Montalbán de Córdoba;133
14041 Montemayor;212
14042 Montilla;1812
14043 Montoro;650
14044 Monturque;109
14045 Moriles;222
14046 Nueva Carteya;170
14047 Obejo;202
14048 Palenciana;71
14049 Palma del Río;1432
14050 Pedro Abad;199
14051 Pedroche;124
14052 Peñarroya-Pueblonuevo;1396
14053 Posadas;547
14054 Pozoblanco;1433
14055 Priego de Córdoba;1503
14056 Puente Genil;2785
14057 Rambla, La;405
14058 Rute;473
14059 San Sebastián de los Ballesteros;46
14060 Santaella;226
14061 Santa Eufemia;61
14062 Torrecampo;80
14063 Valenzuela;18
14064 Valsequillo;38
14065 Victoria, La;156
14066 Villa del Río;553
14067 Villafranca de Córdoba;406
14068 Villaharta;72
14069 Villanueva de Córdoba;574
14070 Villanueva del Duque;121
14071 Villanueva del Rey;125
14072 Villaralto;54
14073 Villaviciosa de Córdoba;267
14074 Viso, El;189
14075 Zuheros;28
18001 Agrón;19
18002 Alamedilla;23
18003 Albolote;1619
18004 Albondón;47
18005 Albuñán;30
18006 Albuñol;478
18007 Albuñuelas;45
18010 Aldeire;53
18011 Alfacar;494
18012 Algarinejo;61
18013 Alhama de Granada;321
18014 Alhendín;914
18015 Alicún de Ortega;24
18016 Almegíjar;19
18017 Almuñécar;2468
18018 Alquife;49
18020 Arenas del Rey;85
18021 Armilla;2473
18022 Atarfe;1901
18023 Baza;1582
18024 Beas de Granada;64
18025 Beas de Guadix;38
18027 Benalúa;461
18028 Benalúa de las Villas;29
18029 Benamaurel;124
18030 Bérchules;43
18032 Bubión;30
18033 Busquístar;37
18034 Cacín;35
18035 Cádiar;120
18036 Cájar;388
18037 Calicasas;47
18038 Campotéjar;57
18039 Caniles;272
18040 Cáñar;41
18042 Capileira;48
18043 Carataunas;15
18044 Cástaras;10
18045 Castilléjar;92
18046 Castril;112
18047 Cenes de la Vega;826
18048 Cijuela;326
18049 Cogollos de Guadix;64
18050 Cogollos de la Vega;142
18051 Colomera;84
18053 Cortes de Baza;91
18054 Cortes y Graena;94
18056 Cúllar;227
18057 Cúllar Vega;687
18059 Chauchina;449
18061 Chimeneas;81
18062 Churriana de la Vega;1521
18063 Darro;116
18064 Dehesas de Guadix;18
18065 Dehesas Viejas;31
18066 Deifontes;171
18067 Diezma;46
18068 Dílar;146
18069 Dólar;29
18070 Dúdar;14
18071 Dúrcal;773
18072 Escúzar;60
18074 Ferreira;14
18076 Fonelas;63
18078 Freila;54
18079 Fuente Vaqueros;450
18082 Galera;63
18083 Gobernador;6
18084 Gójar;467
18085 Gor;54
18086 Gorafe;41
18087 Granada;22050
18088 Guadahortuna;144
18089 Guadix;1656
18093 Gualchos;266
18094 Güejar Sierra;225
18095 Güevéjar;262
18096 Huélago;34
18097 Huéneja;84
18098 Huéscar;506
18099 Huétor de Santillán;197
18100 Huétor Tájar;562
18101 Huétor Vega;983
18102 Illora;510
18103 Itrabo;54
18105 Iznalloz;455
18106 Játar;18
18107 Jayena;84
