Municipio;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población;Porcentaje de población española
01001 Alegría-Dulantzi;39,4;23,1;12,5;2,61;25,5;2.901;89,9
01002 Amurrio;44,4;17,9;22,3;2,48;26,7;10.269;93,1
01003 Aramaio;45,4;17,8;22,7;2,64;27,6;1.432;96,8
01004 Artziniega;42,3;20,6;17,5;2,49;28,2;1.785;94,3
01006 Armiñón;43,8;18,3;15,1;2,31;32,6;219;93,9
01008 Arratzua-Ubarrundia;45,7;15,2;21,4;2,63;24,2;1.014;96,3
01009 Asparrena;45,4;16,2;20,1;2,21;39;1.636;90,9
01010 Ayala/Aiara;42,6;20,4;17,1;2,65;25,7;2.882;98,1
01011 Baños de Ebro/Mañueta;49,6;9,1;27,4;2,48;31,3;285;82,9
01013 Barrundia;46;15,4;20,7;2,49;32,4;892;96,3
01014 Berantevilla;47,8;16,1;29,1;2,4;31,7;447;92,7
01016 Bernedo;49,7;12,1;27,3;2;47,2;539;96,1
01017 Campezo/Kanpezu;46,6;15,2;23,8;2,09;44,3;1.082;92,6
01018 Zigoitia;45,8;16,6;21,6;2,5;28,1;1.805;97,1
01019 Kripan;48,3;12,6;25,7;2,5;32,9;175;97,7
01020 Kuartango;48,8;15,2;26,1;1,88;49,1;395;97
01021 Elburgo/Burgelu;42,7;18,3;14,5;2,82;18,2;634;95,9
01022 Elciego;45;18;23,5;2,37;31,9;997;92,1
01023 Elvillar/Bilar;48,7;12,9;26,8;2,43;26,1;325;89
01027 Iruraiz-Gauna;45,9;12,3;18,2;2,51;23,2;529;97,9
01028 Labastida/Bastida;43,1;19,5;21;2,4;35,1;1.510;89,5
01030 Lagrán;54,3;8,7;37,8;1,89;56;172;93
01031 Laguardia;45,3;15,6;21,2;2,23;38,4;1.445;89
01032 Lanciego/Lantziego;45,1;18,7;24,7;2,31;38;675;84,4
01033 Lapuebla de Labarca;44,4;18;21,1;2,33;36;862;87
01034 Leza;46,8;15,9;26,8;2,32;34,7;220;82,2
01036 Laudio/Llodio;47;15,4;25,7;2,34;29,9;17.984;94,5
01037 Arraia-Maeztu;46,2;17,3;24,4;2,19;41,4;800;95,8
01039 Moreda de Álava/Moreda Araba;49,4;8;22,6;2,08;46,1;212;94,3
01041 Navaridas;47,4;13,3;23,2;2,26;35;181;86,3
01042 Okondo;42,7;20;16,6;2,55;23,9;1.183;95
01043 Oyón-Oion;39,8;23,9;15,2;2,55;31,1;3.416;88,3
01044 Peñacerrada-Urizaharra;48,6;9,7;19,3;2;38,7;300;97,3
01046 Erriberagoitia/Ribera Alta;45,8;14,4;19,5;2,34;37,4;832;94,9
01047 Erriberabeitia;41,1;19,7;13,8;2,7;23,1;1.358;88,7
01049 Añana;51,4;7,1;27,9;1,83;54,8;154;94,8
01051 Agurain/Salvatierra;40,9;21,4;16,6;2,45;30,9;4.962;88,3
01052 Samaniego;45,6;14;20,2;2,27;34,2;272;93,2
01053 San Millán/Donemiliaga;48,1;15,1;24,6;2,45;29,4;717;98,5
01054 Urkabustaiz;41;19,9;15;2,47;32,1;1.417;91,2
01055 Valdegovía/Gaubea;51,1;10,6;28,4;2,02;46,6;1.050;93,2
01056 Harana/Valle de Arana;57,4;8;37,6;1,95;46,6;226;96,9
01057 Villabuena de Álava/Eskuernaga;49,3;10,1;29,6;2,43;27,1;287;89,2
01058 Legutio;43,1;17,9;17,9;2,48;29,9;1.983;89,4
01059 Vitoria-Gasteiz;43,9;17,4;21,1;2,35;31,5;250.823;89,5
01060 Yécora/Iekora;48,5;13,4;31,2;2,46;36,9;253;89,1
