Municipio;Renta neta media por persona
45117 Nombela;5.539
41904 Palmar de Troya, El;6.785
13002 Agudo;6.847
10154 Rebollar;6.865
18063 Darro;6.902
18105 Iznalloz;7.036
18088 Guadahortuna;7.059
18006 Albuñol;7.061
29062 Iznate;7.079
23045 Huesa;7.080
19279 Torre del Burgo;7.110
06106 Puebla del Prior;7.141
06098 Palomas;7.165
41076 Pruna;7.219
03118 San Fulgencio;7.222
44113 Fuentes de Rubielos;7.331
18162 Polopos;7.349
04017 Arboleas;7.429
04093 Turre;7.439
45056 Chozas de Canales;7.442
04903 Mojonera, La;7.443
19133 Heras de Ayuso;7.476
13076 Santa Cruz de los Cáñamos;7.486
38016 Garafía;7.494
41903 Cuervo de Sevilla, El;7.514
06107 Puebla de Obando;7.530
04072 Partaloa;7.535
32004 Avión;7.565
06040 Corte de Peleas;7.568
06099 Parra, La;7.580
10147 Piornal;7.589
23053 Jódar;7.596
41014 Badolatosa;7.597
10101 Huélaga;7.601
10080 Gargantilla;7.604
18136 Montejícar;7.607
18079 Fuente Vaqueros;7.626
06017 Baterno;7.638
06126 Solana de los Barros;7.639
06031 Carmonita;7.680
21009 Arroyomolinos de León;7.681
13081 Terrinches;7.685
18066 Deifontes;7.686
38029 Puntagorda;7.686
18093 Gualchos;7.706
06111 Rena;7.712
23018 Cambil;7.722
29071 Moclinejo;7.727
14046 Nueva Carteya;7.731
41062 Martín de la Jara;7.731
06114 Risco;7.741
29009 Almáchar;7.741
06041 Cristina;7.749
18171 Salar;7.757
11029 Puerto Serrano;7.773
11903 San Martín del Tesorillo;7.775
18103 Ítrabo;7.775
16125 Minglanilla;7.781
10180 Talayuela;7.796
29092 Totalán;7.797
04066 Níjar;7.801
18051 Colomera;7.820
11016 Chipiona;7.836
06094 Oliva de Mérida;7.845
18177 Sorvilán;7.847
18076 Fonelas;7.851
23039 Guarromán;7.856
18182 Ugíjar;7.862
23041 Higuera de Calatrava;7.869
29086 Sayalonga;7.870
29044 Comares;7.873
23062 Montizón;7.878
18158 Pinos Puente;7.886
29045 Cómpeta;7.893
06012 Arroyo de San Serván;7.897
18115 Láchar;7.904
29058 Guaro;7.904
18033 Busquístar;7.909
04102 Vícar;7.912
06037 Codosera, La;7.922
06141 Valencia del Ventoso;7.923
06068 Hinojosa del Valle;7.930
18096 Huélago;7.933
03070 Formentera del Segura;7.943
41101 Villaverde del Río;7.944
06042 Cheles;7.950
41061 Marinaleda;7.951
41902 Isla Mayor;7.951
06047 Esparragosa de la Serena;7.963
23008 Arquillos;7.964
06129 Táliga;7.965
04022 Bédar;7.968
23012 Beas de Segura;7.969
41100 Villanueva de San Juan;7.970
18187 Villanueva de las Torres;7.973
14037 Iznájar;7.974
06159 Zahínos;7.980
06134 Trasierra;7.987
29001 Alameda;7.989
06133 Torremejía;7.990
23054 Larva;7.993
41019 Burguillos;7.997
03078 Hondón de los Frailes;8.006
06002 Aceuchal;8.008
06018 Benquerencia de la Serena;8.018
06038 Cordobilla de Lácara;8.025
29099 Viñuela;8.028
14901 Fuente Carreteros;8.048
41006 Alcolea del Río;8.049
13032 Carrizosa;8.051
03012 Algorfa;8.067
23093 Valdepeñas de Jaén;8.067
29008 Alhaurín el Grande;8.070
41002 Alanís;8.073
18102 Íllora;8.074
21061 Rociana del Condado;8.074
13058 Moral de Calatrava;8.076
21001 Alájar;8.077
41020 Cabezas de San Juan, Las;8.077
23097 Villanueva del Arzobispo;8.079
06051 Fuenlabrada de los Montes;8.083
18027 Benalúa;8.083
04089 Taberno;8.085
06007 Alconchel;8.085
18913 Zagra;8.093
23085 Torreblascopedro;8.107
45046 Cebolla;8.107
29079 Periana;8.119
41064 Montellano;8.120
29026 Benamargosa;8.124
06045 Entrín Bajo;8.131
06026 Calera de León;8.134
41090 Saucejo, El;8.138
23030 Chilluévar;8.147
06073 Llera;8.149
03113 Rojales;8.150
11025 Paterna de Rivera;8.157
06055 Fuentes de León;8.161
45006 Alcaudete de la Jara;8.161
11026 Prado del Rey;8.163
23079 Santisteban del Puerto;8.165
06024 Cabeza la Vaca;8.166
41097 Villamanrique de la Condesa;8.168
16100 Hinojosos, Los;8.173
41048 Guadalcanal;8.173
23046 Ibros;8.174
29072 Mollina;8.177
18147 Órgiva;8.183
30020 Fortuna;8.186
06112 Retamal de Llerena;8.188
13018 Arenas de San Juan;8.190
18067 Diezma;8.196
38040 Santiago del Teide;8.196
11007 Barbate;8.200
10130 Navaconcejo;8.201
21073 Villablanca;8.205
06121 Santa Marta;8.208
14010 Benamejí;8.208
29073 Monda;8.208
06013 Atalaya;8.209
18915 Domingo Pérez de Granada;8.209
06076 Maguilla;8.215
18192 Zafarraya;8.221
10107 Jerte;8.222
23063 Navas de San Juan;8.223
23048 Iznatoraf;8.231
41069 Palacios y Villafranca, Los;8.234
41008 Algámitas;8.236
14902 Guijarrosa, La;8.238
10093 Hernán-Pérez;8.241
06152 Villalba de los Barros;8.244
18107 Jayena;8.247
06071 Lapa, La;8.250
21074 Villalba del Alcor;8.251
16157 Pesquera, La;8.254
03045 Bolulla;8.257
06022 Burguillos del Cerro;8.258
38044 Tanque, El;8.260
10036 Cabrero;8.263
18152 Pedro Martínez;8.265
41072 Pedrera;8.265
23014 Begíjar;8.270
29053 Frigiliana;8.270
11002 Alcalá del Valle;8.278
14011 Blázquez, Los;8.279
06069 Hornachos;8.284
13085 Torrenueva;8.284
23044 Huelma;8.285
06090 Nava de Santiago, La;8.287
02026 Cenizate;8.296
41052 Lantejuela;8.297
41063 Molares, Los;8.297
16271 Villarta;8.298
29002 Alcaucín;8.299
38006 Arona;8.300
23070 Pozo Alcón;8.301
14005 Almodóvar del Río;8.302
03127 Tàrbena;8.304
18135 Montefrío;8.304
41003 Albaida del Aljarafe;8.311
23034 Fuensanta de Martos;8.313
18100 Huétor Tájar;8.314
23075 Sabiote;8.315
21033 Fuenteheridos;8.316
18912 Cuevas del Campo;8.324
29011 Almogía;8.332
29049 Cuevas de San Marcos;8.332
03055 Catral;8.333
13047 Herencia;8.333
23080 Santo Tomé;8.335
41026 Casariche;8.335
46263 Zarra;8.335
23084 Sorihuela del Guadalimar;8.336
13014 Almedina;8.337
18015 Alicún de Ortega;8.338
10902 Vegaviana;8.340
29019 Arenas;8.341
03120 San Miguel de Salinas;8.344
11032 Sanlúcar de Barrameda;8.344
41023 Cantillana;8.344
06154 Villanueva del Fresno;8.345
23905 Arroyo del Ojanco;8.346
29043 Colmenar;8.350
18138 Moraleda de Zafayona;8.352
41022 Campana, La;8.352
10183 Tornavacas;8.354
06113 Ribera del Fresno;8.356
18059 Chauchina;8.356
03064 Dolores;8.357
11010 Bornos;8.358
29050 Cútar;8.359
29056 Gaucín;8.362
11902 San José del Valle;8.363
23067 Pegalajar;8.364
06066 Higuera de Vargas;8.369
45018 Barcience;8.372
50232 Salvatierra de Esca;8.377
03062 Daya Vieja;8.382
06160 Zalamea de la Serena;8.383
29030 Borge, El;8.388
18020 Arenas del Rey;8.390
23902 Bedmar y Garcíez;8.395
