Municipio;Vivienda Familiar;vivienda principal;vivienda no principal;vivienda secundaria;vivienda vacia;vivienda colectiva
01001 Alegría-Dulantzi;1249;1082;167;72;95;2
01002 Amurrio;4435;3864;571;125;446;3
01010 Ayala/Aiara;1311;1071;240;57;183;1
01036 Laudio/Llodio;8550;7538;1012;97;915;2
01043 Oyón-Oion;1608;1246;362;174;188;4
01051 Agurain/Salvatierra;2514;2135;379;144;235;2
01059 Vitoria-Gasteiz;111247;102830;8417;2768;5649;78
01063 Zuia;1150;899;251;143;108;2
01901 Iruña Oka/Iruña de Oca;1616;1200;416;298;118;1
02003 Albacete;83229;62980;20249;5168;15081;22
02009 Almansa;11752;9651;2101;514;1587;2
02010 Alpera;1696;900;796;489;307;1
02012 Balazote;1240;829;411;139;272;1
02015 Barrax;1017;778;239;162;77;0
02019 Bonillo, El;1855;1103;752;549;203;2
02024 Casas-Ibáñez;2608;1892;716;141;575;3
02025 Caudete;5322;3877;1445;377;1068;2
02029 Chinchilla de Monte-Aragón;2696;1539;1157;350;807;1
02030 Elche de la Sierra;2981;1530;1451;1112;339;0
02033 Fuente-Álamo;1459;981;478;297;181;0
02035 Gineta, La;1403;945;458;107;351;1
02037 Hellín;14384;10969;3415;1551;1864;12
02045 Madrigueras;2434;1817;617;183;434;1
02051 Montealegre del Castillo;1235;853;382;196;186;1
02053 Munera;2483;1403;1080;718;362;1
02056 Ontur;1365;904;461;291;170;0
02057 Ossa de Montiel;1820;1042;778;561;217;5
02069 Roda, La;8171;5994;2177;867;1310;3
02073 Tarazona de la Mancha;3576;2401;1175;385;790;0
02074 Tobarra;5365;3071;2294;1598;696;1
02079 Villamalea;2115;1450;665;316;349;1
02081 Villarrobledo;12004;9686;2318;773;1545;7
02086 Yeste;2195;1268;927;219;708;3
02901 Pozo Cañada;1308;1036;272;72;200;0
03002 Agost;2801;1703;1098;754;344;0
03005 Albatera;6504;4120;2384;314;2070;0
03009 Alcoi/Alcoy;34866;25101;9765;3159;6606;8
03011 Alfàs del Pi, l';12406;8530;3876;2398;1478;11
03012 Algorfa;2528;1537;991;306;685;0
03014 Alacant/Alicante;186516;132637;53879;28707;25172;42
03015 Almoradí;9739;7147;2592;605;1987;1
03018 Altea;16430;9085;7345;3883;3462;7
03019 Aspe;10233;7453;2780;946;1834;1
03021 Banyeres de Mariola;4103;2749;1354;664;690;0
03024 Benejúzar;2646;1948;698;86;612;1
03031 Benidorm;58011;27912;30099;25131;4968;20
03034 Benijófar;2090;1416;674;328;346;0
03041 Benissa;11029;5014;6015;1077;4938;3
03042 Poble Nou de Benitatxell, el/Benitachell;4139;1970;2169;1389;780;0
03043 Biar;2520;1420;1100;611;489;0
03044 Bigastro;3165;2431;734;102;632;0
03046 Busot;1876;1267;609;420;189;0
03047 Calp;24954;10004;14950;11806;3144;3
03048 Callosa d'en Sarrià;4061;2770;1291;619;672;1
03049 Callosa de Segura;8448;6445;2003;405;1598;1
03050 Campello, el;26605;10975;15630;12609;3021;3
03053 Castalla;6895;4243;2652;1566;1086;2
03055 Catral;4377;3208;1169;371;798;0
03056 Cocentaina;6172;4555;1617;701;916;2
03058 Cox;3013;2384;629;90;539;0
03059 Crevillent;14691;10355;4336;2310;2026;1
03063 Dénia;43342;17248;26094;12507;13587;6
03064 Dolores;3706;2592;1114;441;673;0
03065 Elx/Elche;113336;86118;27218;13660;13558;15
03066 Elda;27916;20804;7112;2189;4923;4
03069 Finestrat;5637;2888;2749;1888;861;0
03070 Formentera del Segura;3495;1631;1864;477;1387;1
03071 Gata de Gorgos;3839;2315;1524;392;1132;0
03074 Granja de Rocamora;1068;924;144;23;121;0
03076 Guardamar del Segura;22264;6578;15686;10219;5467;4
03077 Fondó de les Neus, el/Hondón de las Nieves;1971;1255;716;520;196;0
03079 Ibi;11802;9123;2679;974;1705;3
03080 Jacarilla;1251;722;529;135;394;0
03081 Xaló;1940;1268;672;424;248;0
03082 Xàbia/Jávea;25274;12236;13038;7712;5326;4
03083 Xixona/Jijona;4438;3031;1407;462;945;1
03088 Monforte del Cid;4914;3052;1862;980;882;0
03089 Monòver/Monóvar;6767;4751;2016;781;1235;1
03090 Mutxamel;11529;8426;3103;1363;1740;9
03092 Muro de Alcoy;4937;3435;1502;895;607;1
03093 Novelda;13211;10003;3208;1503;1705;1
03094 Nucia, la;8771;6627;2144;1435;709;4
03095 Ondara;3417;2329;1088;526;562;1
03096 Onil;4241;3072;1169;580;589;3
03097 Orba;1649;1036;613;344;269;0
03099 Orihuela;69486;31021;38465;27573;10892;6
03101 Pedreguer;6407;3032;3375;2542;833;1
03102 Pego;6127;4144;1983;645;1338;1
03104 Petrer;16439;13198;3241;1541;1700;1
03105 Pinós, el/Pinoso;4338;2872;1466;844;622;0
03107 Polop;2785;1772;1013;478;535;1
03109 Rafal;1893;1560;333;34;299;0
03111 Redován;3395;2671;724;220;504;1
03113 Rojales;14262;8646;5616;2198;3418;1
03114 Romana, la;1817;1053;764;420;344;0
03118 San Fulgencio;8661;4486;4175;1633;2542;0
03119 Sant Joan d'Alacant;11261;8563;2698;992;1706;11
03120 San Miguel de Salinas;5966;2861;3105;2090;1015;0
03121 Santa Pola;43866;13912;29954;24126;5828;4
